2014,Up to 20,Male,1094.6935483870968
2014,Up to 20,Female,1403.4754098360656
2014,>20 - 25,Male,7055.319327731092
2014,>20 - 25,Female,12311.04918032787
2014,>25 - 30,Male,35706.123076923075
2014,>25 - 30,Female,45363.81617647059
2014,>30 - 35,Male,69927.6275862069
2014,>30 - 35,Female,69631.16129032258
2014,>35 - 40,Male,97053.06369426752
2014,>35 - 40,Female,94922.09876543209
2014,>40 - 45,Male,123366.29479768786
2014,>40 - 45,Female,112622.74712643678
2014,>45 - 50,Male,124839.91145833333
2014,>45 - 50,Female,107520.7032967033
2014,>50 - 55,Male,124481.31775700934
2014,>50 - 55,Female,108183.3081081081
2014,>55 - 60,Male,110630.74863387978
2014,>55 - 60,Female,93427.90303030303
2014,Above 60,Male,66092.94025974027
2014,Above 60,Female,45924.954198473286
2015,Up to 20,Male,1201.0461538461539
2015,Up to 20,Female,1529.5901639344263
2015,>20 - 25,Male,7262.626984126984
2015,>20 - 25,Female,12612.752066115703
2015,>25 - 30,Male,37069.77611940299
2015,>25 - 30,Female,47044.57142857143
2015,>30 - 35,Male,73976.83333333333
2015,>30 - 35,Female,73675.06451612903
2015,>35 - 40,Male,103509.93589743589
2015,>35 - 40,Female,99803.26829268293
2015,>40 - 45,Male,131796.4970760234
2015,>40 - 45,Female,121717.58139534884
2015,>45 - 50,Male,139544.7032967033
2015,>45 - 50,Female,118847.10112359551
2015,>50 - 55,Male,133732.53521126762
2015,>50 - 55,Female,117663.46486486486
2015,>55 - 60,Male,113773.87765957447
2015,>55 - 60,Female,97976.52662721893
2015,Above 60,Male,73764.71882640586
2015,Above 60,Female,52967.685096153844
2016,Up to 20,Male,1305.241935483871
2016,Up to 20,Female,1679.280701754386
2016,>20 - 25,Male,7685.53125
2016,>20 - 25,Female,12760.743801652892
2016,>25 - 30,Male,39204.357142857145
2016,>25 - 30,Female,49866.40689655172
2016,>30 - 35,Male,79288.96402877697
2016,>30 - 35,Female,78080.20394736843
2016,>35 - 40,Male,109939.74675324676
2016,>35 - 40,Female,104617.90853658537
2016,>40 - 45,Male,141103.36686390534
2016,>40 - 45,Female,130600.73837209302
2016,>45 - 50,Male,154270.13068181818
2016,>45 - 50,Female,132500.14857142858
2016,>50 - 55,Male,146094.42105263157
2016,>50 - 55,Female,128016.39459459459
2016,>55 - 60,Male,123131.92708333333
2016,>55 - 60,Female,108125.15697674418
2016,Above 60,Male,82481.49425287357
2016,Above 60,Female,61212.22727272727
2017,Up to 20,Male,1398.4833333333333
2017,Up to 20,Female,1777.3090909090909
2017,>20 - 25,Male,8006.5703125
2017,>20 - 25,Female,12763.425
2017,>25 - 30,Male,40344.75
2017,>25 - 30,Female,51388.28378378379
2017,>30 - 35,Male,81768.89781021897
2017,>30 - 35,Female,81943.14666666667
2017,>35 - 40,Male,116407.79220779221
2017,>35 - 40,Female,109217.32934131737
2017,>40 - 45,Male,149123.12727272726
2017,>40 - 45,Female,138970.47928994082
2017,>45 - 50,Male,169148.98843930635
2017,>45 - 50,Female,145599.49142857143
2017,>50 - 55,Male,160787.0693069307
2017,>50 - 55,Female,141146.66483516485
2017,>55 - 60,Male,133805.01530612246
2017,>55 - 60,Female,120670.36781609195
2017,Above 60,Male,91620.42299349241
2017,Above 60,Female,69732.48927038627
2018,Up to 20,Male,1501.0169491525423
2018,Up to 20,Female,1846.7636363636364
2018,>20 - 25,Male,8066.674603174603
2018,>20 - 25,Female,12912.752136752137
2018,>25 - 30,Male,40842.41258741259
2018,>25 - 30,Female,52248.84246575343
2018,>30 - 35,Male,83774.8951048951
2018,>30 - 35,Female,86187.29032258065
2018,>35 - 40,Male,123180.01307189543
2018,>35 - 40,Female,115193.61676646706
2018,>40 - 45,Male,158308.025
2018,>40 - 45,Female,146415.4251497006
2018,>45 - 50,Male,182580.5523255814
2018,>45 - 50,Female,159920.61714285714
2018,>50 - 55,Male,177084.0725388601
2018,>50 - 55,Female,154459.1573033708
2018,>55 - 60,Male,148178.7185929648
2018,>55 - 60,Female,136582.28977272726
2018,Above 60,Male,98932.93647540984
2018,Above 60,Female,77437.77551020408
2019,Up to 20,Male,3352.2684210526318
2019,Up to 20,Female,3482.6098901098903
2019,>20 - 25,Male,8079.512195121952
2019,>20 - 25,Female,13048.438596491229
2019,>25 - 30,Male,42490.01388888889
2019,>25 - 30,Female,54153.836734693876
2019,>30 - 35,Male,87903.04761904762
2019,>30 - 35,Female,90894.98113207547
2019,>35 - 40,Male,129369.65131578948
2019,>35 - 40,Female,121767.7108433735
2019,>40 - 45,Male,168020.8417721519
2019,>40 - 45,Female,154096.20958083833
2019,>45 - 50,Male,195884.32558139536
2019,>45 - 50,Female,173034.93181818182
2019,>50 - 55,Male,197020.36464088398
2019,>50 - 55,Female,169468.2816091954
2019,>55 - 60,Male,164590.81094527364
2019,>55 - 60,Female,152723.19101123596
2019,>60 - 65,Male,151585.4739884393
2019,>60 - 65,Female,134761.1625
2019,>65 - 70,Male,124710.38518518518
2019,>65 - 70,Female,101980.7578125
2019,>70 - 75,Male,81543.26666666666
2019,>70 - 75,Female,64532.311111111114
2019,>75 - 80,Male,44543.78846153846
2019,>75 - 80,Female,32323.51785714286
2019,Above 80,Male,25887.578125
2019,Above 80,Female,19048.197530864196
2020,Up to 20,Male,3645.4433497536947
2020,Up to 20,Female,3772.5876288659792
2020,>20 - 25,Male,7969.680327868852
2020,>20 - 25,Female,13076.8125
2020,>25 - 30,Male,43404.27972027972
2020,>25 - 30,Female,56191.52777777778
2020,>30 - 35,Male,92342.16556291391
2020,>30 - 35,Female,95569.93251533742
2020,>35 - 40,Male,136151.0
2020,>35 - 40,Female,128277.25149700599
2020,>40 - 45,Male,177279.99367088606
2020,>40 - 45,Female,162418.70414201185
2020,>45 - 50,Male,207973.76470588235
2020,>45 - 50,Female,186729.8908045977
2020,>50 - 55,Male,215772.88571428572
2020,>50 - 55,Female,184835.50867052024
2020,>55 - 60,Male,181368.43781094527
2020,>55 - 60,Female,170603.5224719101
2020,>60 - 65,Male,159454.37430167597
2020,>60 - 65,Female,143781.12727272726
2020,>65 - 70,Male,136692.72535211267
2020,>65 - 70,Female,115897.99253731343
2020,>70 - 75,Male,91934.73267326732
2020,>70 - 75,Female,73624.8137254902
2020,>75 - 80,Male,51755.28
2020,>75 - 80,Female,38196.0
2020,Above 80,Male,28778.072463768116
2020,Above 80,Female,21621.83908045977
2021,Up to 20,Male,4005.2045454545455
2021,Up to 20,Female,4113.127358490566
2021,>20 - 25,Male,8293.193277310924
2021,>20 - 25,Female,13512.715596330276
2021,>25 - 30,Male,44437.104895104894
2021,>25 - 30,Female,57297.631944444445
2021,>30 - 35,Male,96817.71337579619
2021,>30 - 35,Female,99742.41176470589
2021,>35 - 40,Male,141978.0945945946
2021,>35 - 40,Female,135050.64024390245
2021,>40 - 45,Male,186178.7133757962
2021,>40 - 45,Female,170545.65294117646
2021,>45 - 50,Male,222217.12426035502
2021,>45 - 50,Female,202304.95977011495
2021,>50 - 55,Male,239984.85294117648
2021,>50 - 55,Female,205432.93023255814
2021,>55 - 60,Male,200062.45226130652
2021,>55 - 60,Female,188023.83798882682
2021,>60 - 65,Male,174296.49726775955
2021,>60 - 65,Female,160953.13173652694
2021,>65 - 70,Male,151967.48993288592
2021,>65 - 70,Female,132815.68085106384
2021,>70 - 75,Male,102116.67592592593
2021,>70 - 75,Female,84838.53271028037
2021,>75 - 80,Male,60635.63636363636
2021,>75 - 80,Female,47435.10344827586
2021,Above 80,Male,33139.94366197183
2021,Above 80,Female,24998.120879120877
2022,Up to 20,Male,4302.958506224067
2022,Up to 20,Female,4385.128755364807
2022,>20 - 25,Male,8851.637931034482
2022,>20 - 25,Female,14433.177570093458
2022,>25 - 30,Male,46659.50704225352
2022,>25 - 30,Female,59976.2676056338
2022,>30 - 35,Male,102002.0248447205
2022,>30 - 35,Female,104684.2356321839
2022,>35 - 40,Male,147077.9455782313
2022,>35 - 40,Female,140960.66463414635
2022,>40 - 45,Male,194037.43396226416
2022,>40 - 45,Female,177650.4252873563
2022,>45 - 50,Male,233965.91515151516
2022,>45 - 50,Female,213657.40697674418
2022,>50 - 55,Male,257655.26035502958
2022,>50 - 55,Female,222627.68208092486
2022,>55 - 60,Male,217980.95336787566
2022,>55 - 60,Female,204596.83050847458
2022,>60 - 65,Male,185546.08021390374
2022,>60 - 65,Female,176176.4674556213
2022,>65 - 70,Male,163917.6387096774
2022,>65 - 70,Female,148838.61643835617
2022,>70 - 75,Male,112214.00884955752
2022,>70 - 75,Female,94343.29464285714
2022,>75 - 80,Male,69870.66666666667
2022,>75 - 80,Female,56397.20895522388
2022,Above 80,Male,36745.87142857143
2022,Above 80,Female,28254.86813186813
